Namespace(batch_size=32, input_sz=224, lr=0.001, lr_factor=0.75, model='mobilenet0.5', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 58] Train-acc: 0.710, loss: 0.570 | Test-acc: 0.710 | time: 6.5 | Speed: 340.74 samples/sec | lr: 0.00023730
[Epoch 59] Train-acc: 0.698, loss: 0.578 | Test-acc: 0.696 | time: 6.5 | Speed: 337.35 samples/sec | lr: 0.00023730
[Epoch 60] Train-acc: 0.703, loss: 0.573 | Test-acc: 0.705 | time: 6.5 | Speed: 337.93 samples/sec | lr: 0.00023730
[Epoch 61] Train-acc: 0.712, loss: 0.571 | Test-acc: 0.687 | time: 6.4 | Speed: 341.66 samples/sec | lr: 0.00023730
[Epoch 62] Train-acc: 0.705, loss: 0.576 | Test-acc: 0.707 | time: 6.6 | Speed: 335.87 samples/sec | lr: 0.00023730
[Epoch 63] Train-acc: 0.696, loss: 0.567 | Test-acc: 0.716 | time: 6.7 | Speed: 326.90 samples/sec | lr: 0.00023730
[Epoch 64] Train-acc: 0.709, loss: 0.574 | Test-acc: 0.678 | time: 6.6 | Speed: 335.39 samples/sec | lr: 0.00023730
[Epoch 65] Train-acc: 0.707, loss: 0.565 | Test-acc: 0.683 | time: 6.6 | Speed: 334.71 samples/sec | lr: 0.00023730
[Epoch 66] Train-acc: 0.706, loss: 0.568 | Test-acc: 0.698 | time: 6.5 | Speed: 339.58 samples/sec | lr: 0.00023730
[Epoch 67] Train-acc: 0.695, loss: 0.574 | Test-acc: 0.698 | time: 6.5 | Speed: 336.93 samples/sec | lr: 0.00023730
[Epoch 68] Train-acc: 0.705, loss: 0.569 | Test-acc: 0.682 | time: 6.5 | Speed: 336.18 samples/sec | lr: 0.00023730
[Epoch 69] Train-acc: 0.716, loss: 0.564 | Test-acc: 0.709 | time: 6.5 | Speed: 337.43 samples/sec | lr: 0.00023730
[Epoch 70] Train-acc: 0.708, loss: 0.565 | Test-acc: 0.692 | time: 6.6 | Speed: 333.88 samples/sec | lr: 0.00017798
[Epoch 71] Train-acc: 0.709, loss: 0.567 | Test-acc: 0.692 | time: 6.5 | Speed: 339.13 samples/sec | lr: 0.00017798
[Epoch 72] Train-acc: 0.712, loss: 0.555 | Test-acc: 0.700 | time: 6.6 | Speed: 335.54 samples/sec | lr: 0.00017798
[Epoch 73] Train-acc: 0.720, loss: 0.562 | Test-acc: 0.687 | time: 6.6 | Speed: 333.93 samples/sec | lr: 0.00017798
