Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='mobilenet0.25.log', lr=0.4, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='mobilenet0.25', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_mobilenet0.25', save_frequency=10, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[1] Batch [9599]	Speed: 1010.250129 samples/sec	accuracy=0.117327	lr=0.156734
Epoch[1] Batch [9799]	Speed: 1003.312422 samples/sec	accuracy=0.117926	lr=0.158333
Epoch[1] Batch [9999]	Speed: 1001.220948 samples/sec	accuracy=0.118480	lr=0.159931
[Epoch 1] training: accuracy=0.118514
[Epoch 1] speed: 1088 samples/sec	time cost: 1210.367359
[Epoch 1] validation: err-top1=0.900220 err-top5=0.739320
Epoch[2] Batch [199]	Speed: 998.521604 samples/sec	accuracy=0.151641	lr=0.161602
Epoch[2] Batch [399]	Speed: 1022.723147 samples/sec	accuracy=0.151445	lr=0.163200
Epoch[2] Batch [599]	Speed: 1056.687189 samples/sec	accuracy=0.151432	lr=0.164799
Epoch[2] Batch [799]	Speed: 1029.256129 samples/sec	accuracy=0.150791	lr=0.166398
Epoch[2] Batch [999]	Speed: 1052.287162 samples/sec	accuracy=0.151117	lr=0.167996
Epoch[2] Batch [1199]	Speed: 1058.905468 samples/sec	accuracy=0.151849	lr=0.169595
Epoch[2] Batch [1399]	Speed: 1024.213326 samples/sec	accuracy=0.151875	lr=0.171193
Epoch[2] Batch [1599]	Speed: 1063.294562 samples/sec	accuracy=0.151934	lr=0.172792
Epoch[2] Batch [1799]	Speed: 1046.659295 samples/sec	accuracy=0.151541	lr=0.174391
Epoch[2] Batch [1999]	Speed: 1029.540994 samples/sec	accuracy=0.152266	lr=0.175989
Epoch[2] Batch [2199]	Speed: 1055.641416 samples/sec	accuracy=0.152518	lr=0.177588
Epoch[2] Batch [2399]	Speed: 1028.037094 samples/sec	accuracy=0.152969	lr=0.179186
Epoch[2] Batch [2599]	Speed: 1060.033241 samples/sec	accuracy=0.153026	lr=0.180785
Epoch[2] Batch [2799]	Speed: 1059.975655 samples/sec	accuracy=0.153429	lr=0.182384
Epoch[2] Batch [2999]	Speed: 1023.404585 samples/sec	accuracy=0.153974	lr=0.183982
Epoch[2] Batch [3199]	Speed: 981.484338 samples/sec	accuracy=0.154197	lr=0.185581
Epoch[2] Batch [3399]	Speed: 979.648791 samples/sec	accuracy=0.154272	lr=0.187179
Epoch[2] Batch [3599]	Speed: 983.056449 samples/sec	accuracy=0.154316	lr=0.188778
Epoch[2] Batch [3799]	Speed: 979.497172 samples/sec	accuracy=0.154468	lr=0.190376
Epoch[2] Batch [3999]	Speed: 994.476885 samples/sec	accuracy=0.154473	lr=0.191975
Epoch[2] Batch [4199]	Speed: 944.326454 samples/sec	accuracy=0.154743	lr=0.193574
Epoch[2] Batch [4399]	Speed: 1020.449851 samples/sec	accuracy=0.154844	lr=0.195172
Epoch[2] Batch [4599]	Speed: 1052.908358 samples/sec	accuracy=0.155107	lr=0.196771
Epoch[2] Batch [4799]	Speed: 1054.647992 samples/sec	accuracy=0.155246	lr=0.198369
Epoch[2] Batch [4999]	Speed: 1051.651536 samples/sec	accuracy=0.155347	lr=0.199968
Epoch[2] Batch [5199]	Speed: 1061.683215 samples/sec	accuracy=0.155446	lr=0.201567
Epoch[2] Batch [5399]	Speed: 975.736259 samples/sec	accuracy=0.155560	lr=0.203165
Epoch[2] Batch [5599]	Speed: 987.863137 samples/sec	accuracy=0.155787	lr=0.204764
Epoch[2] Batch [5799]	Speed: 987.707285 samples/sec	accuracy=0.155863	lr=0.206362
Epoch[2] Batch [5999]	Speed: 1010.871490 samples/sec	accuracy=0.155999	lr=0.207961
Epoch[2] Batch [6199]	Speed: 989.558335 samples/sec	accuracy=0.156215	lr=0.209560
Epoch[2] Batch [6399]	Speed: 985.794883 samples/sec	accuracy=0.156428	lr=0.211158
Epoch[2] Batch [6599]	Speed: 1013.805290 samples/sec	accuracy=0.156558	lr=0.212757
Epoch[2] Batch [6799]	Speed: 1046.955244 samples/sec	accuracy=0.156756	lr=0.214355
Epoch[2] Batch [6999]	Speed: 1061.097143 samples/sec	accuracy=0.156919	lr=0.215954
Epoch[2] Batch [7199]	Speed: 1017.422609 samples/sec	accuracy=0.156938	lr=0.217553
Epoch[2] Batch [7399]	Speed: 1025.402504 samples/sec	accuracy=0.157121	lr=0.219151
Epoch[2] Batch [7599]	Speed: 985.598824 samples/sec	accuracy=0.157282	lr=0.220750
Epoch[2] Batch [7799]	Speed: 1010.260414 samples/sec	accuracy=0.157387	lr=0.222348
Epoch[2] Batch [7999]	Speed: 988.175936 samples/sec	accuracy=0.157370	lr=0.223947
Epoch[2] Batch [8199]	Speed: 1018.844032 samples/sec	accuracy=0.157499	lr=0.225546
Epoch[2] Batch [8399]	Speed: 988.677022 samples/sec	accuracy=0.157613	lr=0.227144
Epoch[2] Batch [8599]	Speed: 1016.679623 samples/sec	accuracy=0.157724	lr=0.228743
Epoch[2] Batch [8799]	Speed: 984.719273 samples/sec	accuracy=0.157788	lr=0.230341
Epoch[2] Batch [8999]	Speed: 1023.099552 samples/sec	accuracy=0.157905	lr=0.231940
Epoch[2] Batch [9199]	Speed: 1044.827630 samples/sec	accuracy=0.158100	lr=0.233538
Epoch[2] Batch [9399]	Speed: 957.806527 samples/sec	accuracy=0.158151	lr=0.235137
Epoch[2] Batch [9599]	Speed: 987.882996 samples/sec	accuracy=0.158145	lr=0.236736
Epoch[2] Batch [9799]	Speed: 1024.910369 samples/sec	accuracy=0.158276	lr=0.238334
Epoch[2] Batch [9999]	Speed: 1020.029556 samples/sec	accuracy=0.158322	lr=0.239933
[Epoch 2] training: accuracy=0.158310
[Epoch 2] speed: 1016 samples/sec	time cost: 1294.630524
[Epoch 2] validation: err-top1=0.843580 err-top5=0.644880
Epoch[3] Batch [199]	Speed: 946.355920 samples/sec	accuracy=0.166641	lr=0.241603
Epoch[3] Batch [399]	Speed: 1010.682959 samples/sec	accuracy=0.165859	lr=0.243202
Epoch[3] Batch [599]	Speed: 973.313974 samples/sec	accuracy=0.166302	lr=0.244801
Epoch[3] Batch [799]	Speed: 1018.459380 samples/sec	accuracy=0.166377	lr=0.246399
Epoch[3] Batch [999]	Speed: 1026.316812 samples/sec	accuracy=0.166070	lr=0.247998
Epoch[3] Batch [1199]	Speed: 1049.859207 samples/sec	accuracy=0.165684	lr=0.249596
Epoch[3] Batch [1399]	Speed: 1020.959504 samples/sec	accuracy=0.164978	lr=0.251195
Epoch[3] Batch [1599]	Speed: 1015.476216 samples/sec	accuracy=0.164326	lr=0.252794
Epoch[3] Batch [1799]	Speed: 1055.061911 samples/sec	accuracy=0.164019	lr=0.254392
Epoch[3] Batch [1999]	Speed: 1013.167651 samples/sec	accuracy=0.164332	lr=0.255991
Epoch[3] Batch [2199]	Speed: 1053.888576 samples/sec	accuracy=0.164155	lr=0.257589
Epoch[3] Batch [2399]	Speed: 1056.012899 samples/sec	accuracy=0.164102	lr=0.259188
Epoch[3] Batch [2599]	Speed: 963.209861 samples/sec	accuracy=0.164017	lr=0.260787
Epoch[3] Batch [2799]	Speed: 1002.926273 samples/sec	accuracy=0.163786	lr=0.262385
Epoch[3] Batch [2999]	Speed: 997.314771 samples/sec	accuracy=0.163612	lr=0.263984
Epoch[3] Batch [3199]	Speed: 987.637784 samples/sec	accuracy=0.163701	lr=0.265582
Epoch[3] Batch [3399]	Speed: 1007.287615 samples/sec	accuracy=0.163681	lr=0.267181
Epoch[3] Batch [3599]	Speed: 1024.030470 samples/sec	accuracy=0.163689	lr=0.268779
Epoch[3] Batch [3799]	Speed: 992.145267 samples/sec	accuracy=0.163744	lr=0.270378
Epoch[3] Batch [3999]	Speed: 979.062630 samples/sec	accuracy=0.163646	lr=0.271977
Epoch[3] Batch [4199]	Speed: 1026.419600 samples/sec	accuracy=0.163583	lr=0.273575
Epoch[3] Batch [4399]	Speed: 1017.411532 samples/sec	accuracy=0.163471	lr=0.275174
Epoch[3] Batch [4599]	Speed: 974.960494 samples/sec	accuracy=0.163407	lr=0.276772
Epoch[3] Batch [4799]	Speed: 1013.918733 samples/sec	accuracy=0.163530	lr=0.278371
Epoch[3] Batch [4999]	Speed: 991.461001 samples/sec	accuracy=0.163375	lr=0.279970
Epoch[3] Batch [5199]	Speed: 1003.433703 samples/sec	accuracy=0.163484	lr=0.281568
Epoch[3] Batch [5399]	Speed: 1012.341509 samples/sec	accuracy=0.163501	lr=0.283167
Epoch[3] Batch [5599]	Speed: 998.500424 samples/sec	accuracy=0.163497	lr=0.284765
Epoch[3] Batch [5799]	Speed: 1016.499533 samples/sec	accuracy=0.163447	lr=0.286364
Epoch[3] Batch [5999]	Speed: 1001.522040 samples/sec	accuracy=0.163469	lr=0.287963
Epoch[3] Batch [6199]	Speed: 1011.568031 samples/sec	accuracy=0.163396	lr=0.289561
Epoch[3] Batch [6399]	Speed: 998.772994 samples/sec	accuracy=0.163340	lr=0.291160
Epoch[3] Batch [6599]	Speed: 1019.026829 samples/sec	accuracy=0.163509	lr=0.292758
Epoch[3] Batch [6799]	Speed: 982.900643 samples/sec	accuracy=0.163472	lr=0.294357
Epoch[3] Batch [6999]	Speed: 1016.905867 samples/sec	accuracy=0.163415	lr=0.295956
Epoch[3] Batch [7199]	Speed: 990.683933 samples/sec	accuracy=0.163376	lr=0.297554
Epoch[3] Batch [7399]	Speed: 1019.247898 samples/sec	accuracy=0.163318	lr=0.299153
Epoch[3] Batch [7599]	Speed: 942.219868 samples/sec	accuracy=0.163291	lr=0.300751
Epoch[3] Batch [7799]	Speed: 997.035728 samples/sec	accuracy=0.163136	lr=0.302350
Epoch[3] Batch [7999]	Speed: 1022.771485 samples/sec	accuracy=0.162983	lr=0.303949
Epoch[3] Batch [8199]	Speed: 994.841041 samples/sec	accuracy=0.163104	lr=0.305547
Epoch[3] Batch [8399]	Speed: 1000.493448 samples/sec	accuracy=0.163169	lr=0.307146
Epoch[3] Batch [8599]	Speed: 1020.819742 samples/sec	accuracy=0.163109	lr=0.308744
Epoch[3] Batch [8799]	Speed: 986.181364 samples/sec	accuracy=0.163004	lr=0.310343
Epoch[3] Batch [8999]	Speed: 1017.720503 samples/sec	accuracy=0.162974	lr=0.311941
Epoch[3] Batch [9199]	Speed: 994.166068 samples/sec	accuracy=0.162973	lr=0.313540
Epoch[3] Batch [9399]	Speed: 988.595397 samples/sec	accuracy=0.162948	lr=0.315139
Epoch[3] Batch [9599]	Speed: 990.623591 samples/sec	accuracy=0.162944	lr=0.316737
Epoch[3] Batch [9799]	Speed: 995.870294 samples/sec	accuracy=0.162926	lr=0.318336
Epoch[3] Batch [9999]	Speed: 998.351862 samples/sec	accuracy=0.162884	lr=0.319934
[Epoch 3] training: accuracy=0.162884
