Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', hard_weight=0.5, input_size=208, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='arm_network_v5.1_train_imagenet.log', lr=0.05, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='arm_network_v5.1', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params', save_frequency=10, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[3] Batch [399]	Speed: 1394.840422 samples/sec	accuracy=0.113418	lr=0.030400
Epoch[3] Batch [599]	Speed: 1395.003608 samples/sec	accuracy=0.113750	lr=0.030600
Epoch[3] Batch [799]	Speed: 1431.549735 samples/sec	accuracy=0.113037	lr=0.030800
Epoch[3] Batch [999]	Speed: 1434.624079 samples/sec	accuracy=0.113539	lr=0.031000
Epoch[3] Batch [1199]	Speed: 1396.920426 samples/sec	accuracy=0.113626	lr=0.031200
Epoch[3] Batch [1399]	Speed: 1379.427318 samples/sec	accuracy=0.113415	lr=0.031399
Epoch[3] Batch [1599]	Speed: 1407.229599 samples/sec	accuracy=0.113955	lr=0.031599
Epoch[3] Batch [1799]	Speed: 1422.603172 samples/sec	accuracy=0.114314	lr=0.031799
Epoch[3] Batch [1999]	Speed: 1441.061864 samples/sec	accuracy=0.114512	lr=0.031999
Epoch[3] Batch [2199]	Speed: 1370.231223 samples/sec	accuracy=0.114634	lr=0.032199
Epoch[3] Batch [2399]	Speed: 1439.391034 samples/sec	accuracy=0.114867	lr=0.032398
Epoch[3] Batch [2599]	Speed: 1373.719705 samples/sec	accuracy=0.115015	lr=0.032598
Epoch[3] Batch [2799]	Speed: 1429.498519 samples/sec	accuracy=0.115254	lr=0.032798
Epoch[3] Batch [2999]	Speed: 1415.878312 samples/sec	accuracy=0.115529	lr=0.032998
Epoch[3] Batch [3199]	Speed: 1411.251218 samples/sec	accuracy=0.115803	lr=0.033198
