Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 77] Train-acc: 0.949, loss: 0.133 | Test-acc: 0.795 | time: 4.6 | Speed: 473.90 samples/sec | lr: 0.00017798
[Epoch 78] Train-acc: 0.941, loss: 0.146 | Test-acc: 0.806 | time: 4.6 | Speed: 478.01 samples/sec | lr: 0.00017798
[Epoch 79] Train-acc: 0.949, loss: 0.139 | Test-acc: 0.793 | time: 4.7 | Speed: 471.37 samples/sec | lr: 0.00017798
[Epoch 80] Train-acc: 0.954, loss: 0.120 | Test-acc: 0.806 | time: 4.7 | Speed: 471.68 samples/sec | lr: 0.00017798
[Epoch 81] Train-acc: 0.945, loss: 0.133 | Test-acc: 0.793 | time: 4.6 | Speed: 479.47 samples/sec | lr: 0.00017798
[Epoch 82] Train-acc: 0.947, loss: 0.132 | Test-acc: 0.797 | time: 4.8 | Speed: 462.07 samples/sec | lr: 0.00017798
[Epoch 83] Train-acc: 0.952, loss: 0.137 | Test-acc: 0.800 | time: 4.5 | Speed: 488.72 samples/sec | lr: 0.00017798
[Epoch 84] Train-acc: 0.954, loss: 0.130 | Test-acc: 0.795 | time: 4.6 | Speed: 478.86 samples/sec | lr: 0.00017798
[Epoch 85] Train-acc: 0.961, loss: 0.109 | Test-acc: 0.804 | time: 4.6 | Speed: 480.94 samples/sec | lr: 0.00017798
[Epoch 86] Train-acc: 0.953, loss: 0.122 | Test-acc: 0.799 | time: 4.7 | Speed: 471.27 samples/sec | lr: 0.00017798
[Epoch 87] Train-acc: 0.952, loss: 0.129 | Test-acc: 0.802 | time: 4.5 | Speed: 484.16 samples/sec | lr: 0.00017798
[Epoch 88] Train-acc: 0.958, loss: 0.114 | Test-acc: 0.806 | time: 4.7 | Speed: 472.63 samples/sec | lr: 0.00017798
[Epoch 89] Train-acc: 0.951, loss: 0.128 | Test-acc: 0.806 | time: 4.7 | Speed: 467.37 samples/sec | lr: 0.00017798
[Epoch 90] Train-acc: 0.954, loss: 0.123 | Test-acc: 0.797 | time: 4.7 | Speed: 466.39 samples/sec | lr: 0.00017798
[Epoch 91] Train-acc: 0.961, loss: 0.104 | Test-acc: 0.809 | time: 4.6 | Speed: 477.20 samples/sec | lr: 0.00017798
[Epoch 92] Train-acc: 0.949, loss: 0.132 | Test-acc: 0.809 | time: 4.7 | Speed: 468.76 samples/sec | lr: 0.00017798
[Epoch 93] Train-acc: 0.959, loss: 0.117 | Test-acc: 0.808 | time: 4.7 | Speed: 472.33 samples/sec | lr: 0.00017798
[Epoch 94] Train-acc: 0.946, loss: 0.127 | Test-acc: 0.808 | time: 4.7 | Speed: 466.80 samples/sec | lr: 0.00017798
[Epoch 95] Train-acc: 0.956, loss: 0.115 | Test-acc: 0.804 | time: 4.6 | Speed: 475.62 samples/sec | lr: 0.00017798
[Epoch 96] Train-acc: 0.954, loss: 0.120 | Test-acc: 0.806 | time: 4.7 | Speed: 472.11 samples/sec | lr: 0.00017798
[Epoch 97] Train-acc: 0.959, loss: 0.121 | Test-acc: 0.804 | time: 4.6 | Speed: 473.68 samples/sec | lr: 0.00017798
[Epoch 98] Train-acc: 0.959, loss: 0.119 | Test-acc: 0.797 | time: 4.7 | Speed: 464.92 samples/sec | lr: 0.00017798
[Epoch 99] Train-acc: 0.961, loss: 0.109 | Test-acc: 0.804 | time: 4.5 | Speed: 488.39 samples/sec | lr: 0.00017798
[Epoch 100] Train-acc: 0.957, loss: 0.108 | Test-acc: 0.804 | time: 4.6 | Speed: 474.10 samples/sec | lr: 0.00017798
[Epoch 101] Train-acc: 0.951, loss: 0.123 | Test-acc: 0.809 | time: 4.6 | Speed: 473.86 samples/sec | lr: 0.00017798
